"date","total_daily_copies","nPopInCatchment","nGenomeCopies","wwDataIsValid"
2021-06-01,0,228000,0,TRUE
2021-06-02,14247480000,1115000,12778.0089686099,TRUE
2021-06-03,0,232000,0,TRUE
2021-06-07,16318440000,1115000,14635.3721973094,TRUE
2021-06-08,71743808000,963000,74500.3198338525,TRUE
2021-06-09,71743808000,1603000,44755.9625701809,TRUE
2021-06-10,14247480000,120000,118729,TRUE
2021-06-13,14247480000,120000,118729,TRUE
2021-06-14,0,1643000,0,TRUE
2021-06-15,14247480000,566000,25172.2261484099,TRUE
2021-06-16,71743808000,1363000,52636.6896551724,TRUE
2021-06-17,0,168000,0,TRUE
2021-06-21,14247480000,1523000,9354.87852921865,TRUE
2021-06-22,0,1022000,0,TRUE
2021-06-23,34212120000,1515000,22582.2574257426,TRUE
2021-06-24,0,400000,0,TRUE
2021-06-25,0,449000,0,TRUE
2021-06-26,0,449000,0,TRUE
2021-06-27,0,449000,0,TRUE
2021-06-28,14247480000,2212000,6440.99457504521,TRUE
2021-06-29,0,677000,0,TRUE
2021-06-30,0,1804000,0,TRUE
2021-07-01,0,400000,0,TRUE
2021-07-05,14247480000,2149000,6629.81852024197,TRUE
2021-07-06,0,396000,0,TRUE
2021-07-07,14247480000,1115000,12778.0089686099,TRUE
2021-07-08,0,168000,0,TRUE
2021-07-12,14247480000,1499000,9504.65643762508,TRUE
2021-07-13,0,1058000,0,TRUE
2021-07-14,14247480000,525000,27138.0571428571,TRUE
2021-07-15,35145432000,386000,91050.3419689119,TRUE
2021-07-19,21936480000,1205000,18204.5477178423,TRUE
2021-07-20,14929992000,558000,26756.2580645161,TRUE
2021-07-21,56193840000,1124000,49994.5195729537,TRUE
2021-07-22,14929992000,892000,16737.6591928251,TRUE
2021-07-24,0,88000,0,TRUE
2021-07-25,0,88000,0,TRUE
2021-07-26,14247480000,2527000,5638.100514444,TRUE
2021-07-27,0,456000,0,TRUE
2021-07-28,0,1872900,0,TRUE
2021-07-29,0,533000,0,TRUE
2021-08-02,71743808000,2253000,31843.678650688,TRUE
2021-08-03,0,389000,0,TRUE
2021-08-04,71743808000,492000,145820.74796748,TRUE
2021-08-05,0,614000,0,TRUE
2021-08-09,14247480000,2355000,6049.88535031847,TRUE
2021-08-10,0,655000,0,TRUE
2021-08-11,0,1838000,0,TRUE
2021-08-12,0,742000,0,TRUE
2021-08-13,14247480000,120000,118729,TRUE
2021-08-16,160604050000,2355000,68197.0488322718,TRUE
2021-08-17,151613311500,891300,170103.569505217,TRUE
2021-08-18,66630090000,2227760,29909.0072539232,TRUE
2021-08-19,28581840000,990600,28853.0587522714,TRUE
2021-08-20,499508397000,2009660,248553.684205288,TRUE
2021-08-21,420377700000,2154720,195096.207395857,TRUE
2021-08-22,442870052500,1782320,248479.539308317,TRUE
2021-08-23,438098040000,2556550,171362.985273122,TRUE
2021-08-24,43997418500,1293060,34025.8135740028,TRUE
2021-08-25,280892840000,1548220,181429.53843769,TRUE
2021-08-26,910554910000,2520900,361202.312666111,TRUE
2021-08-27,876589435000,1874400,467664.017819035,TRUE
2021-08-28,35145432000,400000,87863.58,TRUE
2021-08-30,364560930000,2216720,164459.620520409,TRUE
2021-08-31,326105760000,2389490,136475.046976551,TRUE
2021-09-01,35145432000,1304100,26949.9516908213,TRUE
2021-09-02,233083215000,2350480,99164.092015248,TRUE
2021-09-03,168465250000,2215600,76035.9496298971,TRUE
2021-09-05,0,84000,0,TRUE
2021-09-06,603243690000,2428900,248360.858824983,TRUE
2021-09-07,4.43e+08,1022400,433.29420970266,TRUE
2021-09-08,817610762900,2655500,307893.339446432,TRUE
2021-09-09,637997500,887310,719.024354509698,TRUE
2021-09-10,168309400000,2155000,78101.8097447796,TRUE
2021-09-13,126579640000,2613970,48424.2894906981,TRUE
2021-09-14,757498000,1014450,746.708068411455,TRUE
2021-09-15,130861787800,2741940,47725.9851783774,TRUE
2021-09-16,0,1025130,0,TRUE
2021-09-17,148783142800,2016660,73777.008915732,TRUE
2021-09-19,0,65000,0,TRUE
2021-09-20,426273570000,2488566,171292.852992446,TRUE
2021-09-21,36228240000,1234720,29341.2595568226,TRUE
2021-09-22,484352200000,2089790,231770.752085138,TRUE
2021-09-23,8818900000,1042596,8458.59757758518,TRUE
2021-09-24,108221440000,1252160,86427.8047533862,TRUE
2021-09-25,63671520000,240000,265298,TRUE
2021-09-27,646458770000,2482514,260404.883920091,TRUE
2021-09-28,0,1070420,0,TRUE
2021-09-29,467018315000,1780142,262348.910929578,TRUE
2021-09-30,0,1075520,0,TRUE
2021-10-01,260894085000,1455460,179251.978755857,TRUE
2021-10-03,0,4000,0,TRUE
2021-10-04,321640190000,2612800,123101.726117575,TRUE
2021-10-05,45241419600,797520,56727.6301534758,TRUE
2021-10-06,518549741080,2400856,215985.357339216,TRUE
2021-10-07,42651802600,1303916,32710.5446976646,TRUE
2021-10-08,238895192840,1558946,153241.480359166,TRUE
2021-10-11,716511210000,2824400,253686.166973516,TRUE
2021-10-12,40718737960,828950,49120.8612823451,TRUE
2021-10-13,427665081200,2358690,181314.662460942,TRUE
2021-10-14,125902732640,1331950,94525.1192912647,TRUE
2021-10-15,363196394160,1400160,259396.350531368,TRUE
2021-10-17,0,149000,0,TRUE
2021-10-18,1373293865000,2590416,530144.140941069,TRUE
2021-10-19,105285487940,843040,124887.89136933,TRUE
2021-10-20,369719566800,1194786,309444.173935751,TRUE
2021-10-21,1652788210500,2413850,684710.404747602,TRUE
2021-10-22,295251975400,267660,1103085.9127251,TRUE
2021-10-25,0,213500,0,TRUE
2021-10-26,181590901542,1665206,109050.112443746,TRUE
2021-10-27,1570312138700,2404820,652985.312289485,TRUE
2021-10-28,127939835560,1572666,81352.1978347596,TRUE
2021-10-29,202253391800,741900,272615.435773015,TRUE
2021-10-30,71743808000,368000,194956,TRUE
2021-10-31,71743808000,368000,194956,TRUE
2021-11-01,1760640851078,2681386,656615.963191424,TRUE
2021-11-02,144470038780,1308590,110401.301232624,TRUE
2021-11-03,123686647032,951286,130020.463910958,TRUE
2021-11-04,1015085357650,2613650,388378.458343696,TRUE
2021-11-05,0,27660,0,TRUE
2021-11-06,1194999300,386910,3088.57176087462,TRUE
2021-11-07,4282443000,385400,11111.683964712,TRUE
2021-11-08,460263397104,2385756,192921.403992697,TRUE
2021-11-09,36870382200,840070,43889.6546716345,TRUE
2021-11-10,15856649782,875946,18102.3142773641,TRUE
2021-11-11,97121920470,1342330,72353.2368866076,TRUE
2021-11-12,125152486600,438460,285436.497285955,TRUE
2021-11-13,8993118800,40400,222601.95049505,TRUE
2021-11-14,1194999300,95600,12499.9926778243,TRUE
2021-11-15,139392680967,1813207,76876.3196739258,TRUE
2021-11-16,99309572350,1106130,89781.1038033504,TRUE
2021-11-17,294902314712,918947,320913.300453671,TRUE
2021-11-18,2005034768111,2344570,855182.301279552,TRUE
2021-11-19,3714992334,396354,9372.91495481312,TRUE
2021-11-20,1194999300,9900,120707,TRUE
2021-11-22,1240204583282,2639156,469924.696865968,TRUE
2021-11-23,54302594559,935934,58019.6836091006,TRUE
2021-11-24,184293759970,1103387,167025.495107338,TRUE
2021-11-25,307106639170,1314694,233595.528062043,TRUE
2021-11-26,0,379300,0,TRUE
2021-11-27,0,8034,0,TRUE
2021-11-29,113799173482,1610936,70641.6477637845,TRUE
2021-11-30,52675975640,1269341,41498.6797401171,TRUE
2021-12-01,33983348820,763876,44488.0436353544,TRUE
2021-12-02,145639529070,1394485,104439.652681814,TRUE
2021-12-03,71743808000,377900,189848.658375232,TRUE
2021-12-04,0,8034,0,TRUE
2021-12-05,0,65000,0,TRUE
2021-12-06,141389336034,1674466,84438.4633871336,TRUE
2021-12-07,195655936980,1292932,151327.321916388,TRUE
2021-12-08,518331082482,1829325,283345.541378377,TRUE
2021-12-09,185245430060,1281830,144516.378973811,TRUE
2021-12-10,71743808000,382100,187761.863386548,TRUE
2021-12-13,58441715500,1650186,35415.2292529448,TRUE
2021-12-14,270654787401,1158997,233525.011195887,TRUE
2021-12-15,309950415639,2179393,142218.689166662,TRUE
2021-12-16,521104120000,1108590,470060.274763438,TRUE
2021-12-17,71743808000,381300,188155.803829006,TRUE
2021-12-19,11831985000,55000,215127,TRUE
2021-12-20,279562516763,1613924,173219.133467871,TRUE
2021-12-21,259017141181,897151,288710.753464021,TRUE
2021-12-22,386315694320,2411080,160225.166448231,TRUE
2021-12-23,51171351000,437000,117096.913043478,TRUE
2021-12-28,0,20700,0,TRUE
2021-12-29,455842897820,3151319,144651.461124691,TRUE
2021-12-30,6027450000,126783,47541.46849341,TRUE
2021-12-31,0,40000,0,TRUE
2022-01-05,262568107520,2198509,119430.080804764,TRUE
2022-01-06,49085507440,487430,100702.680261781,TRUE
2022-01-07,0,381100,0,TRUE
2022-01-10,25635317000,1598172,16040.3992811787,TRUE
2022-01-11,140244684000,954883,146871.065879275,TRUE
2022-01-12,7536428182,843617,8933.4712102767,TRUE
2022-01-13,246657131600,1196580,206135.094686523,TRUE
2022-01-14,0,382300,0,TRUE
2022-01-16,0,65000,0,TRUE
2022-01-17,91955959800,1710430,53761.8960144525,TRUE
2022-01-18,227413726800,1139507,199572.031413585,TRUE
2022-01-19,40079879600,882546,45413.9269794436,TRUE
2022-01-20,72182803100,969627,74443.8872886172,TRUE
2022-01-21,0,382300,0,TRUE
2022-01-24,234671335282,2342146,100195.007178032,TRUE
2022-01-25,366528126400,3858626,94989.2854088476,TRUE
2022-01-26,136654085564,1247417,109549.64183108,TRUE
2022-01-27,114543915381,1108567,103326.109636134,TRUE
2022-01-28,69208288000,409300,169089.391644271,TRUE
2022-01-31,95194605600,1132690,84042.9469669548,TRUE
2022-02-01,1229623459200,2212277,555818.036891402,TRUE
2022-02-02,123420654100,1157880,106591.921529001,TRUE
2022-02-03,189663290300,1108581,171086.542435781,TRUE
2022-02-04,53548871500,258814,206900.98487717,TRUE
2022-02-07,9903649400,240660,41152.037729577,TRUE
2022-02-08,271644035800,1672647,162403.684578994,TRUE
2022-02-09,2202705066820,2442477,901832.470406067,TRUE
2022-02-10,598953523800,1370309,437093.767756032,TRUE
2022-02-11,142079648000,381194,372722.67664234,TRUE
2022-02-14,504133228700,1505080,334954.440096207,TRUE
2022-02-15,1093904900220,1282527,852929.334212847,TRUE
2022-02-16,4801915296490,2443296,1965343.24801007,TRUE
2022-02-17,989641150800,1238281,799205.633293251,TRUE
2022-02-18,547280668400,381617,1434109.77079113,TRUE
2022-02-21,3484282854500,1697979,2052017.63655499,TRUE
